Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1144,Sales,24,47383,2,10,66,No
1145,Sales,40,35912,10,10,91,Yes
1146,Marketing,24,79743,1,9,61,No
1147,Marketing,38,61814,7,6,100,Yes
1148,Sales,23,35969,8,6,77,No
1149,Sales,45,36037,2,8,95,No
1150,IT,39,61195,6,7,78,No
1151,Finance,30,68597,1,10,62,No
1152,Finance,34,38153,7,10,57,No
1153,HR,37,76486,7,7,72,No
1154,HR,45,76480,3,9,98,No
1155,HR,32,44843,5,6,88,No
1156,IT,35,62345,8,7,97,Yes
1157,Sales,32,61461,4,10,89,No
1158,IT,42,69905,2,6,61,No
1159,Finance,37,47382,6,10,67,No
1160,Finance,39,66689,8,9,53,No
1161,Sales,26,35684,1,7,72,No
1162,Marketing,28,55097,1,9,73,No
1163,Marketing,45,55711,10,7,83,Yes
1164,Marketing,35,57123,4,10,64,No
1165,IT,25,51293,7,6,64,No
1166,Finance,27,50248,1,7,71,No
1167,Finance,35,46084,7,8,100,Yes
1168,Finance,39,64440,7,10,92,Yes
1169,HR,24,40146,1,10,85,No
1170,Sales,44,48584,7,7,71,No
1171,Finance,34,74654,7,7,69,No
1172,Marketing,42,56526,4,7,61,No
1173,IT,44,73087,2,7,52,No
1174,Sales,44,68766,7,10,62,No
1175,Marketing,27,50422,1,7,63,No
1176,Marketing,34,63496,8,9,84,Yes
1177,Finance,32,38992,3,6,51,No
1178,IT,40,60576,2,6,78,No
1179,Marketing,32,55209,7,6,58,No
1180,Marketing,28,38885,3,9,75,No
1181,IT,31,39915,6,6,62,No
1182,IT,27,47480,1,7,65,No
1183,HR,36,62119,6,7,66,No
1184,HR,31,46682,9,10,100,Yes
1185,Sales,22,54066,7,7,62,No
1186,IT,22,36900,3,7,55,No
1187,Marketing,23,68503,6,6,76,No
1188,HR,35,37319,6,7,66,No
1189,Finance,29,55963,3,7,94,No
1190,Finance,40,64057,5,10,95,No
1191,Sales,31,62145,6,7,57,No
1192,HR,43,71532,4,6,67,No
1193,Sales,25,65118,9,8,66,No
1194,Sales,26,42632,9,6,75,No
1195,IT,39,59270,2,7,78,No
1196,IT,23,70316,7,8,85,Yes
1197,IT,34,63300,1,6,57,No
1198,Finance,38,40560,5,8,57,No
1199,HR,41,79198,9,7,69,No
1200,HR,37,70142,4,7,56,No
1201,Sales,32,50199,8,7,88,Yes
1202,Sales,27,74488,10,9,100,Yes
1203,Sales,38,54187,3,7,75,No
1204,Marketing,31,45237,4,9,54,No
1205,Marketing,33,66880,4,7,55,No
1206,IT,40,66374,5,6,59,No
1207,Marketing,32,49675,6,7,70,No
1208,Sales,41,65527,8,6,61,No
1209,HR,33,67847,10,6,91,Yes
1210,IT,36,37158,6,10,91,Yes
1211,HR,33,64297,4,8,76,No
1212,Finance,34,72241,2,7,72,No
1213,Finance,34,73927,9,9,68,No
1214,IT,29,56380,6,9,94,Yes
1215,Sales,45,35098,10,7,95,Yes
1216,Finance,44,44784,5,8,54,No
1217,Marketing,34,71492,3,8,90,No
1218,Finance,36,60456,8,7,54,No
1219,HR,28,68574,5,10,56,No
1220,IT,22,65829,5,8,79,No
1221,Sales,44,65070,2,9,92,No
1222,Finance,33,65633,3,7,63,No
1223,HR,42,66447,6,9,100,Yes
1224,HR,43,56040,7,10,99,Yes
1225,IT,33,79010,9,9,59,No
1226,Sales,24,74915,8,8,90,Yes
1227,IT,22,35005,7,6,84,Yes
1228,Marketing,40,65293,4,10,59,No
1229,Finance,30,68312,8,6,96,Yes
1230,Finance,24,36265,8,9,86,Yes
1231,HR,24,38549,5,9,52,No
1232,HR,38,58924,2,7,76,No
1233,Finance,44,59626,7,10,97,Yes
1234,HR,27,47479,3,6,86,No
1235,Finance,31,49899,8,7,69,No
1236,Sales,41,56373,2,6,72,No
1237,IT,34,54125,2,9,62,No
1238,Sales,29,66379,6,8,90,Yes
1239,Sales,38,72717,1,7,64,No
1240,Finance,41,35242,5,6,61,No
1241,Sales,30,75243,4,6,58,No
1242,HR,28,60121,8,6,66,No
1243,Sales,32,60931,5,9,73,No
1244,Finance,33,37735,9,6,93,Yes
1245,HR,29,59400,4,9,96,No
1246,HR,37,61609,9,6,88,Yes
1247,Sales,23,45967,7,9,76,No
1248,IT,36,63161,6,8,74,No
1249,Marketing,40,47102,10,9,97,Yes
1250,HR,39,55510,3,8,74,No
1251,Finance,39,58478,3,9,79,No
1252,Sales,22,60443,8,7,64,No
1253,Finance,43,71447,3,10,64,No
1254,Finance,45,74670,5,9,98,No
1255,HR,31,62887,3,6,94,No
1256,HR,44,64464,9,10,89,Yes
1257,IT,41,69606,5,9,91,No
1258,Sales,25,70544,3,10,70,No
1259,Sales,24,57648,10,8,64,No
1260,IT,22,51864,7,7,100,Yes
1261,Finance,38,46769,2,10,89,No
1262,HR,28,45789,9,6,92,Yes
1263,Finance,23,64793,7,7,69,No
1264,Sales,39,47326,7,6,73,No
1265,IT,23,73922,3,9,83,No
1266,Marketing,44,45410,5,7,51,No
1267,IT,33,47893,4,10,58,No
1268,Marketing,31,46944,3,7,51,No
1269,Marketing,23,66171,6,6,62,No
1270,Finance,44,37567,2,10,61,No
1271,Sales,26,77141,8,10,95,Yes
1272,Sales,33,60307,2,9,84,No
1273,Finance,27,72503,6,6,63,No
1274,IT,26,40531,10,9,71,No
1275,Finance,28,41600,6,10,76,No
1276,Marketing,45,40041,10,9,85,Yes
1277,Sales,36,38042,4,6,56,No
1278,Sales,29,69511,9,6,95,Yes
1279,Marketing,31,76081,10,9,92,Yes
1280,Marketing,39,63353,1,6,91,No
1281,HR,43,61138,8,9,91,Yes
1282,Finance,31,51674,5,7,56,No
1283,HR,25,71062,6,6,97,Yes
1284,IT,41,54580,10,6,68,No
1285,Sales,37,69560,4,10,53,No
1286,Finance,29,56050,5,7,97,No
1287,Finance,37,48431,10,8,56,No
1288,Marketing,40,66732,4,6,62,No
1289,HR,40,74528,4,10,97,No
1290,HR,34,71295,1,10,71,No
1291,HR,27,66999,3,6,84,No
1292,Marketing,30,55521,8,7,67,No
1293,HR,40,42376,1,7,53,No
1294,HR,37,76834,1,8,100,No
1295,HR,35,47675,9,8,58,No
1296,Finance,26,71015,9,10,70,No
1297,IT,33,76025,5,9,82,No
1298,Marketing,36,67613,10,8,56,No
1299,IT,29,40884,3,6,91,No
1300,Finance,38,35297,5,10,58,No
1301,IT,36,64524,9,9,86,Yes
1302,Marketing,38,49062,5,7,55,No
1303,IT,38,59711,5,8,78,No
1304,IT,29,65528,7,9,85,Yes
1305,IT,41,59375,3,8,99,No
1306,Sales,45,51478,3,10,85,No
1307,Marketing,24,79318,9,8,63,No
1308,Finance,39,42857,1,10,65,No
1309,Marketing,40,50994,10,10,80,No
1310,Marketing,38,68743,5,10,54,No
1311,Sales,43,54474,10,8,94,Yes
1312,HR,37,55688,1,10,93,No
1313,Sales,39,62357,9,8,51,No
1314,Sales,39,54750,4,10,59,No
1315,Sales,41,51281,10,9,74,No
1316,HR,27,54681,4,8,50,No
1317,IT,44,35864,7,6,66,No
1318,HR,33,56790,5,9,73,No
1319,Marketing,26,40477,4,7,63,No
1320,Marketing,36,52304,1,6,79,No
1321,HR,25,74121,5,6,58,No
1322,Finance,39,73564,6,10,88,Yes
1323,IT,36,43788,7,8,96,Yes
1324,Sales,27,56142,5,10,79,No
1325,Finance,35,46715,5,7,88,No
1326,Marketing,33,70865,6,9,98,Yes
1327,HR,45,71168,7,6,98,Yes
1328,Sales,22,44652,8,6,96,Yes
1329,Finance,31,35466,10,9,92,Yes
1330,Sales,32,59560,1,9,55,No
1331,Sales,42,41498,3,6,60,No
1332,HR,39,71837,8,8,93,Yes
1333,IT,42,76672,9,8,71,No
1334,Marketing,42,39896,1,10,56,No
1335,Finance,38,62153,6,8,100,Yes
1336,HR,37,54093,2,7,78,No
1337,Marketing,22,73758,6,6,72,No
1338,HR,28,66218,2,6,55,No
1339,Finance,39,52394,2,9,98,No
1340,HR,26,54237,3,9,68,No
1341,Marketing,38,39960,10,7,99,Yes
1342,Sales,29,53299,5,7,96,No
1343,Sales,45,64409,5,9,77,No
1344,Sales,43,52186,2,7,73,No
1345,Sales,31,56409,7,10,66,No
1346,Finance,40,43205,9,8,95,Yes
1347,HR,25,71984,5,10,77,No
1348,Sales,41,62719,2,8,88,No
1349,Marketing,43,47356,5,6,90,No
1350,Finance,34,41843,2,9,67,No
1351,HR,34,42719,1,7,53,No
1352,Sales,29,40412,2,6,63,No
1353,HR,24,52577,7,6,82,Yes
1354,Finance,23,42107,1,6,72,No
1355,Marketing,27,51814,4,9,58,No
1356,Finance,30,55735,1,7,82,No
1357,HR,36,72780,9,7,76,No
1358,HR,29,41286,10,6,79,No
1359,IT,29,66485,8,9,58,No
1360,Sales,43,56757,5,8,81,No
1361,Finance,38,68732,7,7,86,Yes
1362,HR,37,79662,1,8,95,No
1363,Finance,36,46468,7,8,85,Yes
1364,Finance,29,36927,8,8,88,Yes
1365,HR,35,61023,7,10,71,No
1366,Finance,37,77099,3,10,95,No
1367,HR,44,59188,4,7,64,No
1368,Finance,40,43934,2,7,63,No
1369,Marketing,45,73292,2,8,66,No
1370,Sales,29,58025,1,9,68,No
1371,Finance,35,40511,6,9,88,Yes
1372,IT,33,77969,9,10,68,No
1373,Sales,45,66265,9,8,57,No
1374,HR,24,52072,4,7,81,No
1375,Sales,25,55666,5,8,100,No
1376,Finance,44,48891,4,8,97,No
1377,Finance,39,56604,3,8,98,No
1378,IT,40,76399,3,10,58,No
1379,Finance,44,66681,8,9,59,No
1380,Finance,22,45004,6,9,69,No
1381,Marketing,36,39417,4,8,96,No
1382,Sales,23,73585,3,7,59,No
1383,Finance,25,76693,1,7,61,No
1384,Finance,39,42486,9,10,59,No
1385,IT,22,42598,6,7,63,No
1386,HR,25,40492,7,9,81,Yes
1387,Sales,27,69175,5,7,66,No
1388,Finance,28,69892,6,7,87,Yes
1389,Marketing,35,39632,9,6,63,No
1390,HR,40,54415,9,9,61,No
1391,IT,45,58382,5,8,66,No
1392,Sales,24,76327,8,6,72,No
1393,IT,41,56341,5,9,87,No
1394,IT,42,62103,4,9,59,No
1395,Sales,32,47012,10,8,98,Yes
1396,IT,36,42064,8,9,79,No
1397,Sales,38,40534,9,7,57,No
1398,IT,23,50547,4,7,50,No
1399,Sales,29,59908,4,9,66,No
1400,HR,43,42842,1,6,51,No
1401,IT,22,37428,3,6,85,No
1402,HR,28,64831,2,8,91,No
1403,IT,25,70690,7,7,65,No
1404,Marketing,38,69310,10,9,84,Yes
1405,Finance,25,53560,3,9,81,No
1406,HR,36,49300,7,6,74,No
1407,Marketing,34,78824,10,10,64,No
1408,Sales,44,37249,3,7,77,No
1409,Sales,37,72900,9,8,70,No
1410,Sales,32,57803,7,6,76,No
1411,Sales,40,44125,8,10,70,No
1412,HR,41,67170,10,9,52,No
1413,IT,38,65211,9,7,71,No
1414,Marketing,42,45924,6,8,100,Yes
1415,Finance,23,57919,6,9,75,No
1416,Sales,27,46169,10,8,65,No
1417,IT,43,42208,3,6,91,No
1418,IT,42,46540,5,10,59,No
1419,HR,22,43975,9,9,75,No
1420,HR,25,35608,3,6,56,No
1421,Marketing,40,35699,7,10,91,Yes
1422,IT,44,69357,7,9,78,No
1423,Marketing,29,58721,2,10,91,No
1424,HR,30,61859,4,6,92,No
1425,IT,24,78362,3,8,65,No
1426,HR,24,46810,4,7,58,No
1427,Marketing,39,38910,3,6,90,No
1428,HR,28,46653,6,9,96,Yes
1429,HR,23,73520,10,6,88,Yes
1430,IT,40,48464,5,8,74,No
1431,Sales,32,55329,1,7,96,No
1432,IT,27,67188,9,10,57,No
1433,Marketing,41,53803,6,8,61,No
1434,Finance,41,46820,3,6,53,No
1435,Finance,42,54802,7,8,78,No
1436,IT,37,52433,5,6,89,No
1437,Marketing,25,53940,2,10,91,No
1438,Sales,22,43744,8,10,99,Yes
1439,IT,22,53875,2,8,96,No
1440,Sales,44,57585,9,8,54,No
1441,IT,43,64540,10,9,51,No
1442,Sales,41,79845,4,7,79,No
1443,HR,39,48393,3,7,58,No
1444,Marketing,39,65402,4,7,52,No
1445,HR,24,51406,2,8,64,No
1446,Marketing,34,47165,4,6,85,No
1447,Marketing,23,73243,5,7,75,No
1448,IT,44,59420,5,8,78,No
1449,Finance,44,78617,5,9,95,No
1450,HR,42,36442,4,10,97,No
1451,HR,38,60393,5,7,71,No
1452,IT,25,65774,7,10,81,Yes
1453,Sales,34,44885,1,6,91,No
1454,Finance,31,38962,4,7,63,No
1455,Finance,38,38651,9,10,50,No
1456,Marketing,40,36982,9,6,81,Yes
1457,Finance,27,78140,9,8,81,Yes
1458,Finance,29,57812,8,6,88,Yes
1459,Finance,42,66360,3,6,100,No
1460,Sales,30,35550,10,9,69,No
1461,Sales,35,72305,3,7,79,No
1462,Sales,33,74167,8,7,59,No
1463,Finance,44,59694,8,8,84,Yes
1464,Sales,38,58035,6,9,54,No
1465,Finance,34,71038,9,7,56,No
1466,HR,27,49849,4,8,65,No
1467,Sales,45,79367,6,7,97,Yes
1468,IT,35,63578,4,10,65,No
1469,Marketing,32,41010,3,7,98,No
1470,Finance,25,40243,2,9,92,No
1471,HR,38,54758,5,8,90,No
1472,Sales,22,52708,4,8,71,No
1473,Finance,23,66679,3,10,60,No
1474,Marketing,29,53894,5,6,64,No
1475,HR,30,57894,5,8,90,No
1476,HR,38,64618,10,10,72,No
1477,IT,27,47441,4,7,67,No
1478,Finance,37,40899,8,7,55,No
1479,IT,25,56179,3,7,80,No
1480,IT,24,73906,2,9,61,No
1481,HR,22,71662,7,6,60,No
1482,Finance,43,37565,4,6,76,No
1483,HR,32,75945,9,9,53,No
1484,HR,25,76276,9,8,95,Yes
1485,Marketing,22,55194,5,7,67,No
1486,Marketing,27,40530,1,6,75,No
1487,IT,39,57138,4,8,54,No
1488,Finance,27,35075,5,8,88,No
1489,Sales,28,48305,8,7,94,Yes
1490,HR,36,38165,10,6,69,No
1491,HR,34,64614,1,6,82,No
1492,HR,23,59898,5,9,77,No
1493,Marketing,38,77459,1,10,72,No
1494,Marketing,35,66777,3,7,82,No
1495,IT,38,39854,9,10,69,No
1496,HR,28,59508,5,7,79,No
1497,IT,28,74095,1,7,86,No
1498,Marketing,33,58749,10,10,80,No
1499,Marketing,45,39866,7,6,64,No
1500,Finance,26,78973,4,9,51,No
1501,HR,29,42294,8,9,64,No
1502,Finance,35,49017,8,6,66,No
1503,IT,32,38730,6,6,67,No
1504,Sales,27,35069,10,6,81,Yes
1505,Sales,24,36848,1,8,83,No
1506,Marketing,41,67980,4,6,62,No
1507,Sales,45,53857,7,7,62,No
1508,Sales,29,63273,6,6,64,No
1509,Marketing,32,36712,3,7,50,No
1510,Finance,41,68197,7,10,52,No
1511,Marketing,29,47106,4,6,87,No
1512,IT,31,67923,10,6,93,Yes
1513,Finance,37,66899,2,8,95,No
1514,Sales,24,57610,8,6,80,No
1515,Finance,31,65143,8,9,59,No
1516,Sales,33,43778,10,10,70,No
1517,HR,26,42709,8,7,100,Yes
1518,Marketing,30,36508,8,7,58,No
1519,IT,43,57904,4,7,86,No
1520,IT,35,63388,4,6,70,No
1521,HR,26,37179,1,9,69,No
1522,HR,45,78528,10,7,79,No
1523,HR,22,75652,3,10,77,No
1524,HR,39,57768,6,9,63,No
1525,Marketing,34,79535,6,8,63,No
1526,Finance,33,45853,8,9,83,Yes
1527,IT,35,41573,7,6,93,Yes
1528,Marketing,26,40490,1,8,91,No
1529,Sales,36,38252,9,7,67,No
1530,Marketing,38,35695,8,6,53,No
1531,HR,28,58982,8,8,69,No
1532,IT,42,61770,4,8,86,No
1533,IT,31,53860,2,9,90,No
1534,Sales,33,56318,6,7,80,No
1535,Marketing,33,72984,7,9,53,No
1536,Marketing,38,61392,2,7,93,No
1537,HR,33,67002,10,9,96,Yes
1538,Marketing,28,41768,7,7,75,No
1539,IT,29,61308,3,10,96,No
1540,IT,43,63156,1,7,62,No
1541,Finance,32,61653,6,7,68,No
1542,Finance,43,59841,8,10,87,Yes
1543,Marketing,45,47061,4,6,63,No
1544,Marketing,38,58402,6,6,84,Yes
1545,Sales,44,62470,2,10,73,No
1546,Sales,39,74444,8,9,71,No
1547,HR,35,51121,10,8,50,No
1548,Sales,29,58194,3,9,60,No
1549,Sales,35,64161,5,10,100,No
1550,IT,33,42715,3,7,65,No
1551,IT,27,63798,8,10,76,No
1552,Marketing,36,74294,1,6,58,No
1553,HR,39,43541,1,10,59,No
1554,Marketing,31,68061,4,9,54,No
1555,Marketing,43,59239,6,8,58,No
1556,Sales,37,52109,9,8,91,Yes
1557,Sales,33,67639,3,6,87,No
1558,Sales,34,36165,4,9,85,No
1559,IT,31,42559,5,7,68,No
1560,Marketing,34,38318,5,7,97,No
1561,Sales,30,54209,9,7,73,No
1562,HR,37,49166,1,10,63,No
1563,HR,35,56713,6,8,81,Yes
1564,IT,27,61990,9,9,84,Yes
1565,Marketing,35,60593,3,10,71,No
1566,HR,25,68409,3,10,92,No
1567,IT,40,64727,3,10,63,No
1568,IT,44,42013,5,10,74,No
1569,Finance,45,51107,3,8,57,No
1570,Sales,45,53349,4,9,51,No
1571,IT,34,63238,9,9,83,Yes
1572,Marketing,44,61970,3,9,82,No
1573,Finance,32,37699,5,10,66,No
1574,Sales,25,74771,4,8,62,No
1575,Marketing,27,62709,4,10,56,No
1576,IT,45,39903,8,8,68,No
1577,Sales,43,35921,1,6,60,No
1578,Marketing,27,42535,2,10,87,No
1579,Marketing,35,39039,4,8,90,No
1580,Sales,30,78823,2,7,59,No
1581,IT,29,59825,6,6,60,No
1582,Finance,26,64711,4,8,53,No
1583,Finance,38,64005,10,7,69,No
1584,HR,41,37265,2,8,55,No
1585,Marketing,43,74570,6,6,53,No
1586,IT,28,73764,6,6,52,No
1587,Finance,30,64567,2,8,91,No
1588,HR,39,54106,3,6,50,No
1589,Marketing,25,49681,7,9,50,No
1590,IT,44,74639,5,7,64,No
1591,Marketing,39,37077,6,7,62,No
1592,IT,41,45986,1,9,81,No
1593,Sales,35,75187,3,10,54,No
1594,HR,34,55536,7,7,69,No
1595,Sales,40,45797,8,6,70,No
1596,Marketing,24,52744,9,7,63,No
1597,Marketing,24,49261,7,9,62,No
1598,Finance,24,51975,3,7,65,No
1599,IT,44,55305,10,6,73,No
1600,Marketing,37,73928,10,10,96,Yes
1601,HR,32,54454,7,10,54,No
1602,Sales,25,61282,10,6,82,Yes
1603,IT,30,37427,7,6,65,No
1604,HR,24,57230,4,9,51,No
1605,Finance,25,75612,3,9,77,No
1606,IT,41,62601,3,7,53,No
1607,Sales,36,59305,6,8,93,Yes
1608,IT,41,74757,7,6,50,No
1609,IT,31,60318,7,7,94,Yes
1610,HR,32,53230,7,9,50,No
1611,IT,40,35459,10,9,64,No
1612,Marketing,22,55461,10,9,100,Yes
1613,Sales,33,63749,9,7,62,No
1614,IT,28,78378,10,6,85,Yes
1615,Marketing,30,38721,3,6,66,No
1616,IT,36,43069,2,8,72,No
1617,Sales,23,65283,10,6,84,Yes
1618,HR,30,59677,1,8,96,No
1619,Finance,30,76050,6,7,81,Yes
1620,Finance,27,70342,5,7,99,No
1621,IT,31,71975,5,10,95,No
1622,Sales,26,51214,4,8,77,No
1623,HR,26,57972,6,7,82,Yes
1624,Sales,36,39333,4,10,52,No
1625,Marketing,45,71741,8,6,86,Yes
1626,HR,24,72399,6,10,91,Yes
1627,Marketing,27,64561,8,6,51,No
1628,Sales,29,68726,9,7,67,No
1629,IT,41,39769,4,8,69,No
1630,Finance,33,63405,6,9,98,Yes
1631,Sales,28,63290,1,9,79,No
1632,IT,36,63826,8,6,93,Yes
1633,HR,24,48867,5,9,76,No
1634,IT,45,54676,4,10,54,No
1635,HR,38,62756,6,9,55,No
1636,IT,32,35918,4,6,62,No
1637,Finance,43,54721,9,10,99,Yes
1638,HR,37,43050,3,10,81,No
1639,HR,45,71032,1,8,50,No
1640,Finance,30,69083,1,6,88,No
1641,Sales,41,63628,3,9,57,No
1642,IT,22,43604,4,6,98,No
1643,Marketing,34,60528,9,10,68,No
1644,HR,24,56793,2,7,88,No
1645,Finance,26,65531,9,9,65,No
1646,Marketing,37,49784,5,8,69,No
1647,HR,43,66393,4,10,91,No
1648,HR,22,35451,6,7,79,No
1649,Finance,44,40097,9,9,79,No
1650,HR,29,67065,9,8,96,Yes
1651,Finance,25,40541,1,6,86,No
1652,Sales,36,56520,1,9,93,No
1653,Finance,42,42901,7,9,61,No
1654,Finance,35,58750,7,7,65,No
1655,HR,44,52113,10,8,82,Yes
1656,HR,38,73600,3,7,100,No
1657,Finance,34,51223,9,6,59,No
1658,HR,27,41630,9,8,66,No
1659,HR,29,52429,2,7,54,No
1660,IT,44,73366,5,10,65,No
1661,IT,41,75277,3,7,65,No
1662,Finance,29,61436,1,8,68,No
1663,Finance,25,73636,4,7,97,No
1664,IT,39,79922,7,10,87,Yes
1665,Sales,25,74876,7,9,90,Yes
1666,Marketing,31,37299,4,6,66,No
1667,IT,27,47683,10,6,64,No
1668,Sales,40,36340,3,10,70,No
1669,IT,37,62753,4,6,85,No
1670,IT,33,59884,5,7,86,No
1671,Finance,24,41136,1,6,68,No
1672,Marketing,39,78056,3,10,74,No
1673,HR,44,44596,7,7,65,No
1674,Finance,25,37931,1,8,57,No
1675,Finance,25,64620,10,6,53,No
1676,IT,36,43600,4,10,77,No
1677,Marketing,44,61371,7,9,96,Yes
1678,Sales,31,76322,5,6,84,No
1679,IT,25,62921,7,10,71,No
1680,IT,22,76379,4,6,70,No
1681,Marketing,24,41736,5,9,78,No
1682,Finance,37,69886,5,7,97,No
1683,IT,22,37114,8,9,71,No
1684,Sales,24,42152,5,7,61,No
1685,Finance,35,72062,8,10,87,Yes
1686,IT,29,44944,1,6,76,No
1687,Marketing,23,61526,2,6,72,No
1688,Finance,28,54748,4,6,81,No
1689,HR,40,73836,9,7,50,No
1690,Finance,28,44665,2,6,57,No
